#"Potential Energy (kJ/mole)","Temperature (K)"
-69949.31903902919,260.79453869743304
-70073.69403902919,261.93293321998954
-69725.63153902919,257.24830463986217
-68621.25653902919,277.12535840680624
-68302.28778902919,281.179279849476
-67772.31903902919,275.97270194830196
-68148.03778902919,284.88821378525444
-68296.38153902919,274.9876485647434
-68379.81903902919,285.11395644491995
-67937.60028902919,280.96683787060897
-67959.38153902919,287.05178562812677
-67835.31903902919,281.90689151048906
-68071.06903902919,278.8266444566932
-66666.94403902919,306.4486034555436
-65968.53778902919,295.7959861077643
-66467.91278902919,306.83220449621547
-66666.25653902919,301.975960158727
-66750.10028902919,300.4713938099935
-66206.00653902919,302.67598797604325
-66545.22528902919,300.9666367616581
-66652.56903902919,303.3501151076714
-66193.53778902919,303.25290018125565
-66295.06903902919,302.18813812970984
-66351.88153902919,301.27970099394753
-66006.38153902919,304.0838758563701
-65992.56903902919,305.60750823738186
-66207.63153902919,296.4593296612982
-66232.00653902919,296.84639349931786
-66302.50653902919,296.0872482577036
-66212.19403902919,303.7945532431821
-65535.694039029186,299.56408397906375
-66557.19403902919,299.8828112186502
-66514.75653902919,309.71273525290394
-65970.56903902919,300.9650670503245
-66438.88153902919,305.5705220783342
-66267.75653902919,299.2041187798732
-65826.50653902919,294.4456914384735
-66702.94403902919,300.4819923463854
-66822.72528902919,305.0697957008239
-66644.28778902919,300.7202688871188
-66325.47528902919,303.04171321163557
-66406.66278902919,300.69341656123186
-66426.81903902919,306.2430201745176
-66247.72528902919,299.9981240109752
-66130.31903902919,299.83132261927284
-66289.63153902919,297.5529396265259
-66235.13153902919,302.1093731392453
-65693.91278902919,296.43449142259595
-65977.00653902919,298.28363791351086
-66172.00653902919,295.04290545703395
-66011.35028902919,295.5020307484795
-65752.28778902919,301.5755569209618
-66417.06903902919,307.86380129530994
-66177.00653902919,299.1941514072699
-66051.38153902919,299.1871543517769
-66495.41278902919,300.5292297513082
-66622.72528902919,305.92349861497166
-66225.75653902919,298.6748479547865
-66086.63153902919,298.6546045075831
-66053.31903902919,301.13872093700553
-66311.00653902919,303.3285157004777
-66300.19403902919,303.9237272121557
-66060.85028902919,303.0554094549363
-66466.06903902919,302.0387680869318
-66439.00653902919,297.1012745030198
-66284.31903902919,298.5007432373141
-66090.56903902919,297.0832342686974
-66042.44403902919,303.2371932905024
-66239.56903902919,305.302474822617
-66183.69403902919,299.68802136065597
-66932.50653902919,297.3624440030737
-66828.22528902919,306.90656452627843
-66050.88153902919,299.50663339194244
-66043.56903902919,300.7402989378969
-65970.75653902919,294.9943669960271
-65992.81903902919,301.37576494061716
-66161.81903902919,296.6947718975329
-66492.63153902919,304.6837468193737
-66296.19403902919,296.0312079362554
-66280.35028902919,300.7737592196043
-65633.60028902919,302.02357534664304
-66267.94403902919,298.9382924733355
-66596.44403902919,295.71712516573706
-66321.06903902919,300.2537664385453
-66427.03778902919,303.9488009400593
-66005.10028902919,301.7476835229297
-66281.69403902919,300.52254511570146
-66219.13153902919,305.83355944967514
-65755.25653902919,302.4696666716424
-66325.60028902919,304.88744385212186
-65880.91278902919,306.97297037135996
-66309.56903902919,303.2225277699843
-66355.06903902919,304.5668012542903
-66179.63153902919,297.66070186065195
-66408.13153902919,303.36909950726584
-66212.38153902919,299.5522750096835
-66590.03778902919,299.7819753152171
-66372.81903902919,300.63930692846503
-66003.13153902919,296.06088953870733
-66591.88153902919,297.2668896914513
-65992.03778902919,293.58308439545993
-66888.38153902919,301.89780822675834
-66556.78778902919,301.9859187775353
-66403.38153902919,299.3748270251871
-66368.88153902919,299.75663319480594
-66719.00653902919,301.0141815106338
-65722.88153902919,302.9223110676232
-66106.56903902919,294.8868154861468
-66374.31903902919,304.67488989190105
-65990.81903902919,306.2552061461903
-66390.78778902919,294.8300767182412
-65842.50653902919,297.2329357651147
-65990.41278902919,300.01449704467416
-66086.66278902919,306.4906801899175
-66299.22528902919,304.0354853626737
-66346.31903902919,300.70026288442676
-66363.75653902919,292.71779308248705
-66498.63153902919,299.08553271427473
-65847.47528902919,292.28071222115227
-66060.35028902919,301.75021951762164
-66292.63153902919,295.3174316285453
-66378.75653902919,295.9093154916273
-66031.88153902919,303.07733401070897
-66582.16278902919,297.6069100293643
-66377.94403902919,301.21677961282023
-65916.25653902919,304.96612344626567
-65952.69403902919,293.6309576881956
-65857.97528902919,301.395874479759
-66344.75653902919,306.9704985784928
-66578.66278902919,294.4139621587103
-66537.00653902919,303.6223900094367
-66316.66278902919,302.71960614735116
-65712.31903902919,307.0632204265382
-66074.75653902919,293.99226976241476
-66446.94403902919,300.5552381815628
-66516.75653902919,293.93008949329544
-66677.60028902919,303.9500953637101
-66013.75653902919,293.7076373788379
-66727.16278902919,296.17678381477805
-66372.56903902919,303.8437861407764
-66149.75653902919,309.3619883800175
-66404.10028902919,299.9805458100294
-66087.75653902919,290.34423113732225
-66138.94403902919,301.24782787003915
-66186.81903902919,300.0024702255944
-66343.28778902919,298.50145711115005
-66208.81903902919,307.3183460791658
-65876.28778902919,305.60253124201665
-66242.00653902919,299.4256800727885
-66250.94403902919,305.0863585956917
-66683.44403902919,300.16717544290543
-66751.35028902919,296.94549944353037
-66002.63153902919,305.8621219249206
-66255.63153902919,301.43194204077054
-66349.25653902919,308.91236787290944
-66489.44403902919,303.50046521375145
-66063.81903902919,302.85453549520616
-66083.78778902919,294.0920042957044
-66348.81903902919,300.3749056318837
-66098.60028902919,298.4170920051747
-65795.41278902919,301.49931178189405
-66175.97528902919,295.3217606695019
-66448.50653902919,295.78253106890213
-66424.69403902919,301.94384211742147
-66596.81903902919,296.397761650477
-66295.25653902919,298.03741107532204
-66300.31903902919,300.11078103956334
-66114.88153902919,305.2278625837418
-66134.03778902919,301.39632454542993
-66549.50653902919,304.3325221018722
-66185.91278902919,300.1419014309149
-66275.22528902919,296.68779407011397
-65975.19403902919,307.5715468064029
-65977.69403902919,302.78958995400916
-66080.81903902919,302.53532083498624
-66458.31903902919,291.9211058366828
-66077.69403902919,297.64510567807326
-66002.81903902919,302.51336066199735
-66123.06903902919,308.99745186074125
-66366.69403902919,303.9928025154519
-65833.06903902919,302.46007948355697
-66273.63153902919,296.83065077099366
-66025.03778902919,295.6494606380372
-65889.85028902919,297.6808676477083
-66284.38153902919,297.36028405264796
-66154.06903902919,293.6713132984983
-66376.28778902919,309.4488765091449
-66405.56903902919,307.96909971909463
-66314.78778902919,301.1468129998094
-66314.00653902919,299.2182096751692
-65968.41278902919,299.1080596239845
-66578.47528902919,298.3107069345481
-66202.31903902919,304.7928641662822
-66288.53778902919,303.9403941198391
-66204.44403902919,304.7892998732215
-66425.10028902919,297.3162429576654
-66179.91278902919,294.96910582345055
-66172.41278902919,295.0825620092257
-66203.75653902919,302.5969924507295
-65905.35028902919,300.93645760663225
-66956.85028902919,300.35278370363113
-66222.72528902919,305.31441677674525
-66205.81903902919,310.14133192525026
-66315.38153902919,298.5708620980314
-66111.81903902919,306.8805885796657
-66361.94403902919,302.13050395821443
-65983.50653902919,302.487725751179
-66191.31903902919,299.43480391954375
-66355.97528902919,304.97324658187165
-66487.00653902919,309.1203061606086
-65855.06903902919,297.97317451180726
-65872.88153902919,300.95161467387993
-66377.88153902919,306.2135032076506
-66299.50653902919,297.480561052266
-66060.91278902919,301.613681514179
-66066.63153902919,295.3033505427476
-66559.88153902919,304.0206143200734
-66438.31903902919,304.74018501323843
-66165.47528902919,305.7004497511905
-66310.28778902919,299.45067561227984
-65966.81903902919,300.62531869907
-66168.13153902919,300.5567728091969
