#"Potential Energy (kJ/mole)","Temperature (K)"
-53135.11185243458,299.6667211117172
-53299.58060243458,301.5459297928883
-53606.29935243458,299.74277816814237
-53251.11185243458,300.68754627293197
-53128.98685243458,297.4949217047529
-53104.79935243458,295.1091471083273
-53315.84622743458,303.0873410435378
-53255.76810243458,301.57424605675584
-52446.86185243458,298.19347988571013
-53082.00247743458,307.40283548414294
-53171.95560243458,307.11170758559354
-53032.08060243458,298.1036930758822
-53418.95560243458,300.7016228760659
-52699.12747743458,295.63151962309155
-53145.31497743458,298.5486520180714
-53143.08060243458,302.60788230301256
-53443.09622743458,300.47510434075224
-53025.08060243458,296.1325600641951
-53280.97122743458,300.4368095153458
-53080.43997743458,298.84106046274246
-52993.04935243458,293.2715673913655
-53398.36185243458,302.500180341817
-53100.36185243458,294.29107425698123
-52890.54935243458,293.95486141424425
